FrameNumber,dx,dy,X,Y
212,-0.09,0.08,0.15,-0.6
213,0.01,-0.27,0.23,-0.65
214,-0.03,0.07,0.21,-0.36
215,0,-0.09,0.23,-0.42
216,-0.03,-0.2,0.22,-0.32
217,-0.01,0.12,0.25,-0.11
218,-0,-0.27,0.25,-0.23
219,0,-0,0.24,0.04
220,0.01,-0.06,0.23,0.04
221,0,0.2,0.21,0.1
222,0.01,-0.2,0.2,-0.1
223,-0.03,-0.11,0.18,0.1
224,0.08,0.13,0.2,0.2
225,-0,0.05,0.11,0.07
226,0.13,-0.35,0.11,0.02
227,-0.3,-1.3,-0.02,0.37
228,-0.79,-0.03,0.27,1.66
229,-0.27,-0,1.06,1.63
231,-0.74,-2.39,1.04,1.27
232,-25.78,18.98,1.04,1.27
233,-11.92,-11.58,1.04,1.27
234,-4.4,-8.3,1.04,1.27
235,2.47,5.41,1.04,1.27
236,6.96,-3.65,1.04,1.27
237,7.31,-1.61,1.04,1.27
238,4.02,-3.68,-6.31,2.84
239,1.76,0.47,-6.31,2.84
240,2.34,34.66,-7.86,2.27
241,-2.28,42.24,-7.86,2.27
242,-28.71,1.12,-7.86,2.27
243,0.01,-0.18,-7.86,2.27
244,-0.69,-0.22,-7.61,2.38
245,0.19,-0.99,-6.66,2.52
246,-0.73,0.75,-6.63,3.42
251,2.1,8.58,-2.33,1.05
252,-3.66,-17.29,-1.27,-1.02
253,-1.61,-5.22,0.15,2.79
254,-9.13,-4.94,0.4,2.29
255,-3.2,3.44,0.4,2.29
256,-2.01,5.35,0.99,0.24
257,7.43,13.91,1.05,-1.36
258,4.11,4.16,1.05,-1.36
259,6.67,-2.44,-0.79,-2.14
260,6.5,-1.25,-2.91,-0.35
261,5.66,-5.48,-4.41,0.29
262,7.35,8.44,-5.34,2.62
263,8.03,16.44,-7.16,-2.35
264,9.15,25.27,-9.33,-10.44
265,8.96,12.06,-9.33,-10.44
266,11.43,12.73,-12.96,-15.8
267,8.41,1.19,-12.96,-15.8
268,12.62,2.98,-17.43,-14.29
269,11.74,1.1,-26.02,-15.15
270,10.82,0.88,-34.86,-15.03
271,9.88,2.94,-44.56,-15.41
272,10.13,3.22,-52.92,-17.82
273,9.41,4.62,-61.24,-20.44
274,8.28,5.55,-62,-24.35
275,9.95,19.33,-62,-29.07
276,-0.35,14.6,-62,-29.07
277,-0.97,12.15,-59.53,-42.68
278,-3.2,33.83,-56.53,-46
279,-9.65,73.29,-56.53,-46
280,-20.97,71.69,-56.53,-46
281,-13.22,7.79,-56.53,-46
282,-10.6,2.73,-41.13,-46
283,-6.91,0.57,-28.63,-46.4
284,-3.61,-2.47,-20.98,-46.68
285,-2.06,-4.23,-16.47,-42.2
286,-1.13,-3.42,-13.69,-36.14
287,0.26,-2.08,-11.97,-31.16
288,1.63,-0.84,-11.71,-27.74
289,2.97,-0.56,-12.88,-25.81
290,3.75,-0.73,-15.39,-24.32
291,4.61,-0.92,-18.63,-22.78
292,5.52,-1.54,-22.61,-21.11
293,6.66,-2.56,-27.38,-18.86
294,7.29,-3.16,-33.13,-15.68
295,8.27,-3.57,-39.31,-11.99
296,9.41,-3.9,-46.27,-8.02
297,10.37,-3.42,-54.14,-3.85
298,10.53,-2.44,-62.71,-0.3
299,11.42,-2.19,-62,2.15
300,12.76,-4.76,-62,4.27
301,11.47,-5.75,-62,8.89
302,8.27,-2.49,-62,14.34
303,7.18,-3.99,-62,16.35
304,5.62,-3.47,-62,19.8
305,4.44,-4.17,-62,22.61
306,4.2,-3.99,-62,26.03
307,4.27,-3.71,-62,29.15
308,3.15,-4.14,-62,31.89
309,1.81,-4.11,-63.09,34.97
310,0.49,-4.46,-62.79,37.91
311,-0.25,-4.37,-61.19,41.11
312,0.61,-5.64,-58.9,44.11
313,0.92,-5.6,-57.55,48.27
314,1.84,-6.42,-56.55,49
315,2.43,-7.67,-56.51,49
316,2.96,-8.09,-57.05,49
317,3.08,-9.26,-58.11,49
318,1.98,-7.98,-59.25,49
319,1.2,-9.15,-59.26,49
320,1.06,-7.32,-58.48,49
321,0.23,-8.28,-57.59,49
322,0.89,-7.79,-55.9,49
323,1.33,-10.24,-54.92,49
324,2.72,-11.34,-54.43,49
325,5.07,-4.8,-55.33,49
326,4.33,-1.05,-58.55,49
327,-5.03,3.9,-58.55,49
328,-4.68,1.36,-51.57,43.47
329,-2.48,-6.76,-45.17,40.65
330,-0.79,-6.41,-41.18,46.06
331,-0.2,-7.93,-39.02,49
332,2.76,-9.32,-37.52,49
333,4.4,2.65,-37.52,49
334,4.31,3.61,-37.52,49
335,4.62,7.03,-40.58,43.76
336,3.26,9.58,-43.85,35.26
337,1.92,11.4,-45.65,24.5
338,0.39,11.75,-46.04,12.29
339,-0.59,10.43,-44.89,0.13
340,-0.97,8.19,-42.81,-10.3
341,-1.66,7.98,-40.41,-18.15
342,-1.38,8.78,-37.4,-25.53
343,-2.18,7.49,-34.77,-33.45
344,-3.06,6.16,-31.43,-39.83
345,-20.34,14.48,-27.33,-44.66
346,-4.39,8.25,-27.33,-44.66
347,-5.81,12.86,-22.03,-46
348,-5.41,12.32,-15.32,-46
349,-5.14,9.58,-9.21,-46
350,-5.13,6.11,-3.67,-46
351,-3.98,4.05,1.47,-46
352,-2.14,3.43,5.06,-45.78
353,-1.54,2.7,7.03,-47.39
354,-0.83,3.95,8.25,-47.94
355,0.34,3.7,8.7,-46
356,1.32,2.83,7.87,-47
357,2.01,1.47,6.37,-46
358,2.06,-0.06,4.09,-46.49
359,1.83,-2.09,1.84,-44.25
360,1.2,-2.23,-0.08,-40.07
361,0.91,-1.61,-1.27,-35.95
362,0.86,-1.15,-2.12,-32.65
363,4.45,8.46,-2.89,-29.96
364,2.28,-2.43,-7.22,-37.14
365,1.74,-1.83,-9.19,-33.12
366,0.26,0.12,-10.53,-29.88
367,-1.28,1.12,-10.38,-28.84
368,-2.23,0.03,-8.73,-28.93
369,-2.82,-0.35,-6.2,-28
370,-3,-0.26,-3.18,-26.72
371,-3.28,-0.34,-0.07,-25.57
372,-4.09,0.11,3.22,-24.38
373,-5.73,3.77,7.2,-23.67
374,-6.09,4.31,12.69,-26.66
375,-4.57,1,18.36,-30.08
376,-3.81,0.78,22.32,-30.07
377,-3.14,0.85,25.38,-29.85
378,-2.72,1.21,27.68,-29.7
379,-5.25,4.97,29.47,-29.92
380,-0.66,0.78,33.74,-33.89
381,-0.53,0.5,33.28,-33.54
382,-0.44,0.29,32.7,-32.93
383,-0.07,0.38,32.05,-32.12
384,0.22,0.05,31.05,-31.43
385,0.25,0.27,29.79,-30.43
386,0.44,0.13,28.55,-29.69
387,0.36,0.17,27.16,-28.83
388,0.2,0.39,25.9,-28.04
389,0.12,0.44,24.84,-27.49
390,0.33,0.25,23.89,-27.01
391,0.2,-0.03,22.76,-26.37
392,0.34,-0.1,21.81,-25.46
393,0.35,-0.09,20.74,-24.51
394,0.47,-0.07,19.69,-23.6
395,0.28,-0.03,18.57,-22.75
396,0.89,0.05,17.67,-21.96
397,0.34,0.74,16.19,-21.27
398,1.29,-0.52,15.32,-21.31
399,2.39,-2.41,13.51,-20.08
400,2.39,-2.9,10.67,-16.99
401,4.76,-5.5,7.92,-13.53
402,0.64,1.33,2.9,-7.57
403,0.68,1.69,2.16,-8.64
404,0.25,2.35,1.41,-10.05
405,0.19,3.43,1.12,-12.07
406,-3.15,28.33,0.89,-15.1
407,-0.91,4.68,0.89,-15.1
408,-0.43,3.44,1.77,-19.27
409,0.07,1.46,2.14,-22.07
410,0.68,-0.46,2,-22.8
411,0.75,-1.4,1.26,-21.58
412,-0.06,-1.88,0.47,-19.46
413,-0.27,-1.1,0.51,-16.93
414,-0.95,-0.58,0.76,-15.27
415,-1.75,-1.22,1.68,-14.18
416,-1.81,-1.03,3.38,-12.48
417,-1.36,-0.58,5.08,-11.04
418,-0.76,-0.34,6.27,-10.09
419,-1.13,0.43,6.82,-9.41
420,-1.21,-0.4,7.72,-9.53
421,-0.93,-0.06,8.67,-8.81
422,-0.77,0.07,9.31,-8.46
423,-0.64,-0.05,9.77,-8.24
424,-0.49,-0.44,10.09,-7.92
425,-0.19,-0.65,10.25,-7.21
426,0.12,-0.44,10.1,-6.32
427,0.23,-0.23,9.64,-5.67
428,0.25,0.1,9.09,-5.25
429,0.19,-0.08,8.53,-5.17
430,0.38,-0.15,8.05,-4.92
431,0.33,0.09,7.41,-4.6
432,0.19,0.17,6.83,-4.54
433,0.18,-0.18,6.41,-4.56
434,-0.41,-0.56,6.02,-4.23
435,-0.34,0.08,6.24,-3.53
436,-0.4,-0.02,6.37,-3.49
437,-0.22,-0.28,6.55,-3.36
438,-0.1,-0.07,6.56,-2.97
439,0.01,-0.11,6.44,-2.8
440,0.26,-0.17,6.22,-2.6
441,0.16,-0.3,5.76,-2.35
442,0.19,-0.38,5.4,-1.97
443,0.13,-0.09,5.04,-1.52
444,-0.09,0.13,4.74,-1.38
445,-0.15,-0.05,4.67,-1.46
446,-0,0,4.67,-1.36
447,-0.18,-0.26,4.51,-1.32
448,-0.24,0.15,4.54,-1.01
449,-0.21,0.14,4.63,-1.13
450,-0.15,0.19,4.69,-1.23
451,-0.08,-0.2,4.68,-1.38
452,-0.08,-0.12,4.6,-1.14
453,-0.02,0.01,4.53,-0.98
454,0.04,0.21,4.41,-0.96
455,0.08,-0.14,4.22,-1.14
456,0.14,-0.62,4.01,-0.97
457,0.07,-0.06,3.73,-0.31
458,0.03,-0.05,3.53,-0.24
459,0.18,-0.24,3.39,-0.19
460,0.14,0.2,3.1,0.06
461,0.27,-0.15,2.86,-0.15
462,0.29,-0.06,2.49,0
463,0.36,-0.25,2.11,0.07
464,0.2,-0.04,1.69,0.32
465,0.32,-0.21,1.43,0.35
466,0.01,-0.09,1.06,0.55
467,0.11,0.13,1.02,0.63
468,0.19,0.01,0.88,0.47
469,0.14,0.04,0.66,0.45
470,0.05,-0.01,0.5,0.4
471,0.15,0.06,0.44,0.4
472,0.05,0.08,0.27,0.33
473,0.2,0.13,0.22,0.24
474,0.53,-0.5,0.01,0.1
475,0.31,0.33,-0.52,0.6
476,0.43,0.32,-0.81,0.25
477,0.33,0.17,-1.22,-0.09
478,0,0,-1.51,-0.26
479,0.42,-0.19,-1.46,-0.25
480,0.26,3.14,-1.83,-0.05
481,0.1,5.66,-2.03,-3.19
482,0.08,5.5,-2.06,-8.74
483,0.06,4.63,-2.08,-13.96
484,0.13,5.06,-2.07,-18.12
485,-0.32,6.41,-2.13,-22.57
486,-1.56,11.01,-1.74,-28.23
487,-2.13,13.34,-0.12,-38.3
488,0.12,0.57,2.02,-46
489,0.4,-4.12,1.81,-44.53
490,0.8,-6.05,1.39,-40.04
491,-0.36,-0.5,0.53,-32.49
492,-0.63,1.56,0.87,-30.77
493,-0.63,2.61,1.47,-31.18
494,-0.53,1.77,2.05,-32.62
495,-0.03,-1.78,2.5,-33.17
496,0.06,-2.21,2.44,-30.15
497,-0.29,-0.5,2.29,-26.81
498,-0.59,1.3,2.51,-25.39
499,-0.3,1.61,3.02,-25.85
500,-0,-0,3.21,-26.6
501,-0.13,-0.23,3.11,-25.71
502,-0.13,-0.15,3.14,-24.63
503,-0.05,-0.63,3.16,-23.66
504,0.16,-0.75,3.1,-22.25
505,0.14,-1.48,2.84,-20.75
506,0.17,-1.9,2.6,-18.58
507,0.01,-2.07,2.35,-16.06
508,0.08,-2.01,2.26,-13.46
509,0.24,-3.58,2.11,-11
510,0.06,-2.93,1.8,-7.06
511,0.25,-2.74,1.68,-3.9
512,0.18,-4.65,1.38,-1.03
513,0,0,1.15,3.65
514,-1.3,-11.26,1.11,3.53
515,0.18,-4.41,2.37,14.67
516,0.09,-4.27,2.11,18.59
517,0.1,-1.19,1.95,22.25
518,0.03,-0.5,1.78,22.7
519,0.13,-0.94,1.69,22.44
520,0.05,-3.34,1.51,22.63
521,-0.05,1.84,1.41,25.21
522,0.01,1.12,1.41,22.53
523,-0.03,-0.56,1.36,20.66
524,-0,-2.24,1.35,20.53
525,-0.37,0.63,1.3,22.08
526,-0.14,0.9,1.63,20.71
527,-0.19,-0.1,1.72,19.12
528,-0.19,-1.33,1.85,18.58
529,-0.25,-0.45,1.98,19.29
530,-0.24,0.61,2.16,19.1
531,-0.15,0.93,2.32,17.86
532,0,0,2.39,16.34
533,-0.08,0.13,2.31,15.79
534,-0.04,-0.91,2.31,15.13
535,-0.01,-0.64,2.27,15.54
536,-0.01,0.52,2.21,15.66
537,0.06,0.89,2.15,14.62
538,0.13,-0.89,2.01,13.25
539,0.12,-0.8,1.82,13.69
540,0.22,0.15,1.64,14.04
541,0.22,0.57,1.36,13.42
542,0.16,0.09,1.1,12.41
543,0.21,-0.64,0.91,11.9
544,0.09,-0.55,0.66,12.15
545,0,-0,0.55,12.29
546,0.11,0.17,0.53,11.88
547,0.11,0.51,0.4,11.32
548,0.13,0.29,0.28,10.43
549,0.35,-1.31,0.14,9.79
550,0.07,0.26,-0.21,10.78
551,0.06,0.76,-0.27,10.15
552,-0.17,0.42,-0.33,9.05
553,-0.42,-0.09,-0.14,8.33
554,-0.8,-0.18,0.28,8.14
555,-1.09,0.72,1.07,8.05
556,-0.76,0.63,2.13,7.07
557,-0.58,0.38,2.82,6.2
558,0,-0,3.31,5.62
559,-0.36,-0.32,3.19,5.43
560,-0.16,-0.44,3.45,5.58
561,0.21,0.41,3.49,5.83
562,0.62,-0.43,3.16,5.23
563,0.52,-0.72,2.44,5.49
564,0.7,-1.69,1.84,6.02
565,0.29,-0.46,1.08,7.51
566,0.28,-0.6,0.75,7.72
567,-0.07,0.4,0.44,8.06
568,-0.36,-0.71,0.5,7.39
569,-0.22,0.25,0.85,7.86
570,-0.17,0.14,1.04,7.35
571,-0.04,-0.33,1.18,6.96
572,0.04,0,1.18,7.06
573,0.17,0.16,1.1,6.82
574,0.02,0.33,0.9,6.44
575,0.14,-0.18,0.85,5.89
576,0.06,-0.36,0.68,5.88
577,-0.57,0.61,0.59,6.04
578,-0.35,-0.06,1.14,5.23
579,-0.27,-0.38,1.45,5.12
580,-0.26,0.25,1.67,5.33
581,-0.14,0.2,1.88,4.9
582,0.07,0.04,1.96,4.54
583,0.23,-0.54,1.83,4.35
584,1.25,-0.12,1.54,4.74
585,0.08,0.33,0.24,4.71
586,-0.25,0.68,0.15,4.22
587,-0,0,0.39,3.41
588,-0.98,2.46,0.38,3.29
589,-0.56,0.88,1.35,0.72
590,-0.59,0.85,1.87,-0.18
591,-0.8,1.16,2.4,-1.02
592,-0.57,1.09,3.12,-2.15
593,-0.59,1.06,3.58,-3.16
594,-0.07,0.08,4.05,-4.11
595,0.05,-0.15,3.99,-4.06
596,0.08,-0.17,3.8,-3.78
597,0.04,0.4,3.6,-3.48
598,0.24,0.1,3.44,-3.77
599,0.09,0.1,3.08,-3.75
600,0.23,-0.39,2.89,-3.72
601,-0.07,-0,2.57,-3.2
602,-0.38,0.24,2.55,-3.09
603,-0.52,0.62,2.85,-3.23
604,-0.48,0.11,3.27,-3.75
605,-0.55,-0.09,3.64,-3.73
606,-0.27,0,4.07,-3.51
607,-0.13,0.06,4.2,-3.39
608,0.04,0.16,4.2,-3.35
609,0.41,-0.32,4.02,-3.39
610,0.55,-1.12,3.47,-2.96
611,0.68,-1.04,2.81,-1.74
612,0.83,-1.01,2.04,-0.63
613,2.55,-3.14,1.14,0.39
614,0.08,-0.31,-1.45,3.52
615,0.02,0.22,-1.47,3.71
616,0.17,-0.13,-1.45,3.37
617,0.17,-0.31,-1.57,3.39
618,0.42,-0.11,-1.69,3.59
619,0.35,-0.17,-2.05,3.57
620,0.5,0.17,-2.33,3.62
621,0.59,0.09,-2.75,3.34
622,-0.17,1.67,-3.25,3.13
623,0.32,0.34,-2.98,1.36
624,0.03,1.2,-3.2,0.97
625,-0.01,1.05,-3.12,-0.27
626,-0.21,2.09,-3.01,-1.31
627,-0.77,5.33,-2.7,-3.36
628,-0.91,6.52,-1.83,-8.58
629,-1.07,6.72,-0.86,-14.81
630,-1.11,5.37,0.24,-21.03
631,-1.13,3.66,1.33,-25.7
632,-0.87,1.97,2.42,-28.5
633,-1.27,0.44,3.21,-29.52
634,-1.43,-3.22,4.37,-28.97
635,-1.26,-2.53,5.65,-24.79
636,-1.84,1.23,6.72,-21.43
637,-2.55,7.77,8.34,-21.95
638,0.93,0.56,10.62,-28.99
639,1.2,-1.86,9.34,-28.58
640,1.34,-4.27,7.82,-25.77
641,1.1,-3.82,6.22,-20.64
642,3.62,-10.37,4.92,-16.13
643,0.87,-0.23,1.13,-5.23
644,0.12,0.84,0.22,-4.83
645,-0.02,-0.74,0.09,-5.51
646,-0.26,-2.59,0.1,-4.58
647,-0.76,-1.16,0.36,-1.84
648,-1.24,1.7,1.1,-0.62
649,-0.97,3.47,2.31,-2.3
650,-0.96,4.9,3.2,-5.69
651,-0.73,4.82,4.05,-10.4
652,-0.88,4.31,4.65,-14.87
653,-0.42,2.77,5.37,-18.68
654,-0.15,1.79,5.61,-20.83
655,1.85,-11.57,5.58,-21.92
656,0.47,-5.66,3.55,-9.63
657,0.49,-4,2.95,-3.65
658,0.61,-4.57,2.37,0.47
659,0.44,-1.89,1.68,5.02
660,0.1,0.15,1.19,6.74
661,0.15,0.72,1.05,6.37
662,0.3,0.92,0.87,5.44
663,0.11,2.64,0.53,4.34
664,0.2,2.6,0.41,1.56
665,0.2,2.37,0.2,-1.09
666,-0.02,2.91,-0.01,-3.43
667,0.05,2.49,0.01,-6.22
668,0.09,1.22,-0.05,-8.5
669,0.03,-2.2,-0.13,-9.43
670,0.02,-4.47,-0.15,-6.92
671,-0.09,-4.38,-0.17,-2.22
672,-0.31,-3.54,-0.07,2.24
673,-0.58,-3.35,0.25,5.71
674,-0.45,-2.56,0.81,8.87
675,-0.45,1.3,1.24,11.13
676,-0.57,3.07,1.65,9.46
677,-0.4,2.76,2.16,6.07
678,-0.52,4.28,2.49,3.11
679,-0.2,4.79,2.93,-1.27
680,-0.25,5.56,3.03,-6.01
681,0.06,3.37,3.18,-11.37
682,2.27,-3.33,3.02,-14.37
683,0.93,-9.68,0.65,-10.55
684,0.85,-10.03,-0.3,-0.52
685,0.8,-4.39,-1.14,9.52
686,0.54,1.63,-1.9,13.6
687,0.43,4.52,-2.38,11.51
688,0,6.65,-2.73,6.6
689,-0.01,6.03,-2.64,-0.26
690,0.14,3.55,-2.54,-6.29
691,-0.24,2.84,-2.59,-9.63
692,-0.35,0.85,-2.27,-12.15
693,-0.32,-4.08,-1.84,-12.6
694,-3.57,-9.43,-1.45,-8.1
695,-0.91,6.62,2.16,1.61
696,-0.79,5.58,3,-5.07
697,-0.77,3.46,3.68,-10.48
698,-0.5,1.74,4.34,-13.58
699,-0.06,0.76,4.69,-14.87
700,0.46,-0.34,4.59,-15.13
701,3.61,-24.9,3.98,-14.29
702,0.53,2.01,3.98,-14.29
703,0.38,6.11,3.32,-15.82
704,0.45,4.85,2.82,-21.4
705,0.14,3.81,2.28,-25.54
706,0.14,2.13,2.06,-28.49
707,0.14,0.79,1.85,-29.67
708,-0.2,-1.69,1.66,-29.47
709,-0.18,-6.23,1.8,-26.8
710,-0.44,-5.42,1.92,-19.67
711,-0.59,-4.74,2.3,-13.59
712,-1,1.11,2.81,-8.4
713,-0.79,4.29,3.72,-9.22
714,-0.78,4.86,4.39,-13.2
715,-0.68,3.36,5.03,-17.62
716,-0.84,3.42,5.54,-20.39
717,-0.41,2.83,6.19,-23.13
718,0.03,1.51,6.4,-25.19
719,0.32,-2.08,6.15,-25.86
720,2.04,-21.29,5.63,-22.91
721,0.11,4.95,5.63,-22.91
722,-0.11,6.14,5.33,-27.1
723,0.02,3.9,5.27,-32.34
724,0.19,1.83,5.07,-35.16
725,-0.04,1.6,4.71,-35.81
726,0.16,-0.13,4.59,-36.22
727,0.44,-4.68,4.28,-34.89
728,0.42,-7.74,3.7,-29.04
729,0.11,-5.55,3.15,-20.33
730,0.04,-0.36,2.93,-14.1
731,-0.28,4.42,2.8,-13.27
732,-0.31,5.57,2.98,-17.25
733,-0.24,4.8,3.2,-22.25
734,-0,2.8,3.33,-26.31
735,-0.02,1.39,3.23,-28.23
736,0.26,-0.41,3.14,-28.68
737,0.31,-4.68,2.77,-27.31
738,0.22,-7.05,2.36,-21.72
739,0.06,-5.83,2.06,-13.94
740,-0.3,-1.48,1.93,-7.65
741,-0.41,3.98,2.17,-5.91
742,-0.41,4.18,2.51,-9.69
743,-0.37,2.9,2.83,-13.55
744,-0.36,2.48,3.11,-16
745,-0.12,2.47,3.37,-17.95
746,0.04,1.34,3.38,-19.82
747,0.36,-2.74,3.23,-20.5
748,0.95,-12.33,2.76,-17.08
749,-0.1,4.78,1.72,-4.18
750,-0.14,4.92,1.77,-8.82
751,-0.05,3.53,1.85,-13.44
752,0,1.95,1.84,-16.52
753,0.17,1.09,1.77,-17.91
754,0.33,-0.97,1.54,-18.4
755,0.34,-4.9,1.16,-16.82
756,0.32,-7.54,0.78,-11.36
757,0.1,-5.86,0.43,-3.45
758,-0.17,2.45,0.32,2.53
759,-0.33,5.76,0.47,-0.01
760,-0.24,4.37,0.78,-5.77
761,-0.19,2.7,1,-9.95
762,-0.08,2.02,1.16,-12.32
763,0.84,-12.17,1.2,-13.94
764,0.09,-4.85,0.32,-1.3
765,-0.06,1.03,0.22,3.6
766,-0.2,5.05,0.28,2.45
767,-0.21,4.69,0.47,-2.68
768,-0.11,2.94,0.66,-7.29
769,-0.08,1.43,0.74,-9.98
770,0.09,0.78,0.8,-11.08
771,0.13,-0.86,0.68,-11.49
772,0.38,-4.02,0.53,-10.25
773,0.31,-5.26,0.13,-5.89
774,0.16,-3.95,-0.18,-0.43
775,-0.01,0.46,-0.34,3.54
776,-0.1,2.55,-0.32,2.96
777,-0.06,2,-0.21,0.31
778,-0.03,0.48,-0.15,-1.7
779,0.1,-0.81,-0.12,-2.12
780,0.14,-2.18,-0.21,-1.24
781,0.05,-1.93,-0.34,0.98
782,0.01,-0.49,-0.39,2.87
783,-0.04,0.94,-0.39,3.27
784,-0.08,0.56,-0.33,2.22
785,-0,-0.49,-0.24,1.59
786,-0.04,-0.92,-0.23,2.02
787,-0.07,-1.24,-0.18,2.87
788,-0.1,-0.77,-0.11,4.02
789,-0.17,0.87,-0.01,4.65
790,-0.09,0.88,0.16,3.63
791,-0.42,-1.07,0.24,2.63
792,-0.14,0.68,0.66,3.61
793,-0.19,0.03,0.77,2.81
794,-0.4,-0.76,0.94,2.69
795,-0.19,-0.81,1.31,3.36
796,-0.34,0.11,1.45,4.06
797,-0.36,0.51,1.74,3.81
798,-0.26,0.09,2.04,3.17
799,-0.25,-0.62,2.24,2.98
800,-0.18,-0.84,2.42,3.5
801,-0.26,0.41,2.52,4.22
802,-0.25,0.67,2.69,3.67
803,-0.17,0.59,2.86,2.87
804,-0.22,-0.43,2.93,2.19
805,-0.28,-0.62,3.05,2.54
806,-0.2,0.22,3.23,3.08
807,-1.13,0.5,3.32,2.75
808,-0.33,0.27,4.34,2.16
809,-0.3,0.8,4.53,1.82
810,-0.31,0.56,4.68,0.96
811,-0.37,-0.15,4.83,0.37
812,-0.5,-0.34,5.04,0.51
813,-0.35,0.22,5.37,0.83
814,-0.54,0.74,5.54,0.58
815,-0.58,0.61,5.89,-0.18
816,-0.84,-0.14,6.28,-0.78
817,-0.49,0.5,6.92,-0.61
818,0,0,7.17,-1.09
819,-0.33,0.49,6.93,-1.05
820,-0.19,0.51,7.03,-1.5
821,-0.15,0.31,6.98,-1.96
822,-0.07,0.18,6.9,-2.2
823,0.04,0.58,6.75,-2.31
824,0.17,0.95,6.49,-2.81
825,0.34,0.88,6.1,-3.67
826,0.35,0.44,5.56,-4.43
827,0.57,0.03,5.02,-4.72
828,1.37,0.24,4.29,-4.6
829,0.99,-0.19,2.78,-4.69
830,1.06,-0.75,1.69,-4.35
831,-0,-0,0.57,-3.45
832,0.78,-0.49,0.55,-3.34
833,0.6,-0.1,-0.25,-2.74
834,0.58,0.22,-0.84,-2.55
835,1.93,0.58,-1.38,-2.68
836,0.7,0.26,-3.27,-3.18
837,1.54,0.12,-3.86,-3.34
838,0.69,-0.09,-5.27,-3.35
839,0.63,0.09,-5.79,-3.15
840,0,-0,-6.23,-3.13
841,0.94,0.34,-6.02,-3.02
842,1.68,-0.71,-6.76,-3.27
843,2,-0.5,-8.22,-2.45
844,2.12,-0.28,-9.94,-1.86
845,1.99,0.35,-11.74,-1.52
846,1.82,0.56,-13.33,-1.82
847,1.08,2.03,-14.71,-2.32
848,0.28,2.61,-15.3,-4.27
849,0.95,2.14,-15.06,-6.74
850,0.05,1.22,-15.51,-8.65
851,0.34,1.08,-15.04,-9.58
852,0.71,0.37,-14.88,-10.34
853,-0,-0,-15.1,-10.37
854,0.92,0.04,-14.6,-10.02
855,1.01,0.33,-15.03,-9.73
856,1.37,-0.05,-15.54,-9.73
857,6.43,-3.01,-16.39,-9.36
858,3.3,-1.15,-22.27,-6.04
859,1.33,-0.88,-24.83,-4.69
860,1.38,-0.99,-25.33,-3.65
861,1.02,-0.34,-25.87,-2.54
862,-0.87,0.46,-26.03,-2.11
863,-2.16,0.46,-24.3,-2.5
864,-1.9,0,-21.33,-2.87
865,-2.02,0.22,-18.72,-2.78
866,-1.74,0.55,-16.08,-2.9
867,0.38,1.08,-13.8,-3.36
868,1.83,-0.7,-13.72,-4.33
869,1.93,-1.08,-15.08,-3.49
